reviewer_type,reviewer_label,metric,metric_label,sign,mean_rigor_Accept,mean_rigor_Reject,n_Accept,n_Reject,drop_Reject_minus_Accept,pct_drop,cohens_d_Accept_vs_Reject,abs_d
human,Human,n_weaknesses,# Weaknesses raised,1,3.453871681415929,4.594409937888199,678,322,1.14053825647227,0.24824477395164993,-0.7434092032820693,0.7434092032820693
human,Human,Total_Valid_Flaws_Found,# Valid flaws detected,1,4.652120206489675,5.198281412253375,678,321,0.5461612057637,0.10506572508296497,-0.3129754653215543,0.3129754653215543
human,Human,Total_Arguments,# Critical arguments (CPS),1,4.640105703048181,5.086848390446521,678,321,0.44674268739834044,0.08782307887086951,-0.3079423572754683,0.3079423572754683
human,Human,Raw_CPS,Raw Criticism-Point Score,1,4.030956139011799,4.508149927570094,678,321,0.47719378855829486,0.10585135725854258,-0.3854060952063847,0.3854060952063847
human,Human,n_arcs,# ARCs (review effort),1,10.92305801376598,10.99223602484472,678,322,0.06917801107874055,0.006293352046151846,-0.022713156205292545,0.022713156205292545
human,Human,AR,Actionability Ratio,1,0.7048115351524091,0.7660922670807454,678,322,0.061280731928336274,0.07999132031687424,-0.41268808371038207,0.41268808371038207
human,Human,D1_actionability_mean,D1 Actionability,1,1.0774772590953785,1.1596467598343687,678,322,0.08216950073899021,0.07085735379515604,-0.30497744786920905,0.30497744786920905
human,Human,D5_tone_mean,Harshness of tone  (−D5),-1,-1.6179918780727633,-1.5385299016563148,678,322,0.07946197641644859,-0.05164798963666761,-0.38349492357218196,0.38349492357218196
reviewer2,Reviewer2,n_weaknesses,# Weaknesses raised,1,9.300884955752212,9.18944099378882,678,322,-0.11144396196339201,-0.012127392954448202,0.018986977884456243,0.018986977884456243
reviewer2,Reviewer2,Total_Valid_Flaws_Found,# Valid flaws detected,1,11.642011834319527,11.246105919003115,676,321,-0.39590591531641195,-0.035203822386861004,0.058111597662365434,0.058111597662365434
reviewer2,Reviewer2,Total_Arguments,# Critical arguments (CPS),1,10.065088757396449,9.903426791277258,676,321,-0.16166196611919048,-0.016323841184101965,0.04631776781848682,0.04631776781848682
reviewer2,Reviewer2,Raw_CPS,Raw Criticism-Point Score,1,8.275633727810652,8.642571651090343,676,321,0.366937923279691,0.042457029931987696,-0.13116940296172602,0.13116940296172602
reviewer2,Reviewer2,n_arcs,# ARCs (review effort),1,21.792035398230087,21.593167701863354,678,322,-0.19886769636673307,-0.009209750931984475,0.02106151957851266,0.02106151957851266
reviewer2,Reviewer2,AR,Actionability Ratio,1,0.7822713559322033,0.7896882352941176,590,289,0.007416879361914264,0.009392161400444143,-0.04287955343475791,0.04287955343475791
reviewer2,Reviewer2,D1_actionability_mean,D1 Actionability,1,1.1665259322033896,1.2003923875432527,590,289,0.0338664553398631,0.02821282081701207,-0.09980122846458934,0.09980122846458934
reviewer2,Reviewer2,D5_tone_mean,Harshness of tone  (−D5),-1,-1.6025220338983053,-1.5543747404844293,590,289,0.048147293413876024,-0.03097534472212966,-0.10601151875136271,0.10601151875136271
tree,TreeReview,n_weaknesses,# Weaknesses raised,1,8.200589970501476,8.801242236024844,678,322,0.6006522655233688,0.06824630539820917,-0.1072135774426484,0.1072135774426484
tree,TreeReview,Total_Valid_Flaws_Found,# Valid flaws detected,1,5.750369276218612,6.059190031152648,677,321,0.30882075493403605,0.0509673328194476,-0.13622500381590189,0.13622500381590189
tree,TreeReview,Total_Arguments,# Critical arguments (CPS),1,5.360413589364845,5.4953271028037385,677,321,0.13491351343889324,0.024550588329866625,-0.07373652222066852,0.07373652222066852
tree,TreeReview,Raw_CPS,Raw Criticism-Point Score,1,4.331452437223042,4.509139563862928,677,321,0.17768712663988584,0.03940599400912384,-0.11339965380014258,0.11339965380014258
tree,TreeReview,n_arcs,# ARCs (review effort),1,20.446902654867255,21.071428571428573,678,322,0.6245259165613177,0.029638518074096433,-0.09708368532926634,0.09708368532926634
tree,TreeReview,AR,Actionability Ratio,1,0.7711432267884323,0.7802490506329114,657,316,0.00910582384447911,0.011670406823427439,-0.052319200874891544,0.052319200874891544
tree,TreeReview,D1_actionability_mean,D1 Actionability,1,1.0467060882800607,1.0400022151898736,657,316,-0.006703873090187162,-0.0064460180875318945,0.02430492306283878,0.02430492306283878
tree,TreeReview,D5_tone_mean,Harshness of tone  (−D5),-1,-1.2889456621004565,-1.255807594936709,657,316,0.033138067163747564,-0.026387853758296213,-0.055364846744097064,0.055364846744097064
deepreview,DeepReview,n_weaknesses,# Weaknesses raised,1,3.9284649776453056,4.1770186335403725,671,322,0.24855365589506695,0.05950503880907923,-0.1152474146213652,0.1152474146213652
deepreview,DeepReview,Total_Valid_Flaws_Found,# Valid flaws detected,1,4.366322008862629,4.4485981308411215,677,321,0.08227612197849243,0.018494842545585484,-0.028176323427887794,0.028176323427887794
deepreview,DeepReview,Total_Arguments,# Critical arguments (CPS),1,4.008862629246677,4.102803738317757,677,321,0.09394110907108022,0.02289680790570748,-0.04576012381492255,0.04576012381492255
deepreview,DeepReview,Raw_CPS,Raw Criticism-Point Score,1,3.4399271787296897,3.6457847352024917,677,321,0.20585755647280202,0.05646453957775113,-0.1323471370708869,0.1323471370708869
deepreview,DeepReview,n_arcs,# ARCs (review effort),1,14.685543964232489,14.596273291925465,671,322,-0.08927067230702335,-0.006115990741034366,0.01830166613988946,0.01830166613988946
deepreview,DeepReview,AR,Actionability Ratio,1,0.8348030120481926,0.8361157728706624,664,317,0.0013127608224697829,0.0015700706350301706,-0.010351278226501894,0.010351278226501894
deepreview,DeepReview,D1_actionability_mean,D1 Actionability,1,1.4076439759036146,1.4269517350157728,664,317,0.019307759112158207,0.013530772371880391,-0.06553052732396554,0.06553052732396554
deepreview,DeepReview,D5_tone_mean,Harshness of tone  (−D5),-1,-1.725071987951807,-1.7292940063091482,664,317,-0.004222018357341151,0.0024414693753274795,0.014657655964554333,0.014657655964554333
sea,SEA,n_weaknesses,# Weaknesses raised,1,3.9587020648967552,4.040372670807454,678,322,0.08167060591069841,0.020213631901033733,-0.03462844289183066,0.03462844289183066
sea,SEA,Total_Valid_Flaws_Found,# Valid flaws detected,1,4.228613569321534,4.190031152647975,678,321,-0.03858241667355866,-0.009208145540678312,0.016629236159939876,0.016629236159939876
sea,SEA,Total_Arguments,# Critical arguments (CPS),1,3.9808259587020647,3.9781931464174454,678,321,-0.0026328122846193125,-0.0006618110754602971,0.0013138392688312381,0.0013138392688312381
sea,SEA,Raw_CPS,Raw Criticism-Point Score,1,3.4523786135693215,3.577473208722741,678,321,0.1250945951534197,0.03496730453449908,-0.07759241757539949,0.07759241757539949
sea,SEA,n_arcs,# ARCs (review effort),1,15.337758112094395,14.5527950310559,678,322,-0.7849630810384944,-0.053938991057275974,0.1458919373552,0.1458919373552
sea,SEA,AR,Actionability Ratio,1,0.6275084444444444,0.638791277258567,675,321,0.011282832814122568,0.017662784724525215,-0.04829181349947832,0.04829181349947832
sea,SEA,D1_actionability_mean,D1 Actionability,1,0.9003528888888889,0.9105146417445482,675,321,0.010161752855659345,0.011160449694899361,-0.02504804185882131,0.02504804185882131
sea,SEA,D5_tone_mean,Harshness of tone  (−D5),-1,-1.5973226666666667,-1.5825984423676012,675,321,0.014724224299065503,-0.009303828377991923,-0.05931010901860192,0.05931010901860192
cyclereview,CycleReview,n_weaknesses,# Weaknesses raised,1,3.489675516224189,3.5527950310559007,678,322,0.06311951483171185,0.017766157146688128,-0.03477979955086467,0.03477979955086467
cyclereview,CycleReview,Total_Valid_Flaws_Found,# Valid flaws detected,1,3.0824088748019016,3.216666666666667,631,300,0.13425779186476516,0.04173817363671456,-0.06429630186601074,0.06429630186601074
cyclereview,CycleReview,Total_Arguments,# Critical arguments (CPS),1,3.1584786053882725,3.2066666666666666,631,300,0.048188061278394034,0.015027461937129118,-0.03130429057469333,0.03130429057469333
cyclereview,CycleReview,Raw_CPS,Raw Criticism-Point Score,1,2.7938275752773376,2.938338,631,300,0.1445104247226623,0.04918100801291829,-0.1155094923004228,0.1155094923004228
cyclereview,CycleReview,n_arcs,# ARCs (review effort),1,6.9174041297935105,6.807453416149069,678,322,-0.10995071364444176,-0.01615151906638241,0.03630936736964371,0.03630936736964371
cyclereview,CycleReview,AR,Actionability Ratio,1,0.8983081845238094,0.9164310344827586,672,319,0.018122849958949194,0.019775465121800336,-0.08609171937783477,0.08609171937783477
cyclereview,CycleReview,D1_actionability_mean,D1 Actionability,1,1.3080098214285716,1.3687272727272728,672,319,0.06071745129870121,0.04436051835053887,-0.12281754243737593,0.12281754243737593
cyclereview,CycleReview,D5_tone_mean,Harshness of tone  (−D5),-1,-1.3154162202380952,-1.3322382445141068,672,319,-0.016822024276011538,0.012626888880634754,0.04097199839102793,0.04097199839102793
